Date,Open,High,Low,Close,Volume
2017-07-26,2392.29,2414.14,2364.55,2371.28,1894759
2017-07-27,2367.08,2371.28,2346.06,2350.27,1866209
2017-07-28,2341.01,2343.55,2306.56,2318.32,2123172
2017-07-31,2317.49,2345.23,2306.56,2336.81,1610194
2017-08-01,2333.45,2353.63,2320.84,2349.42,1443525
2017-08-02,2375.5,2407.43,2367.08,2393.14,2106638
2017-08-03,2389.77,2406.59,2382.21,2399.87,1464700
2017-08-04,2401.54,2410.79,2387.26,2404.06,1395820
2017-08-07,2429.29,2444.42,2424.23,2436.85,1755451
2017-08-08,2437.69,2456.18,2437.69,2451.97,2201454
2017-08-09,2580.59,2614.21,2567.97,2580.59,5657276
2017-08-10,2605.8,2635.23,2593.21,2618.41,2724186
2017-08-14,2605.8,2668.85,2593.21,2660.43,2651023
2017-08-15,2664.64,2694.05,2660.43,2673.05,1769373
2017-08-16,2660.43,2681.46,2635.23,2673.05,1785549
2017-08-17,2664.64,2685.66,2643.62,2664.64,1310283
2017-08-18,2635.23,2643.62,2618.41,2639.43,1439123
2017-08-21,2652.03,2656.24,2563.78,2576.39,2180636
2017-08-22,2593.21,2614.21,2588.99,2601.6,1156819
2017-08-23,2631.02,2668.85,2597.4,2601.6,1091982
2017-08-24,2593.21,2631.02,2593.21,2601.6,1072113
2017-08-25,2605.8,2647.84,2605.8,2631.02,1260914
2017-08-28,2631.02,2639.43,2584.77,2605.8,1170974
2017-08-29,2593.21,2626.8,2584.77,2601.6,897832
2017-08-30,2584.77,2601.6,2580.59,2593.21,1158960
2017-08-31,2618.41,2647.84,2614.21,2614.21,1324084
2017-09-01,2605.8,2618.41,2593.21,2597.4,1182278
2017-09-04,2584.77,2614.21,2580.59,2601.6,936377
2017-09-05,2605.8,2605.8,2572.18,2588.99,1163839
2017-09-06,2559.57,2572.18,2542.74,2567.97,1776983
2017-09-07,2580.59,2605.8,2567.97,2597.4,1241999
2017-09-08,2567.97,2593.21,2555.37,2563.78,2243329
2017-09-11,2601.6,2664.64,2588.99,2647.84,1689665
2017-09-12,2685.66,2710.88,2677.25,2681.46,1314329
2017-09-13,2727.68,2757.12,2715.09,2719.27,1601155
2017-09-14,2719.27,2719.27,2677.25,2681.46,1076279
2017-09-15,2694.05,2715.09,2685.66,2710.88,1234503
2017-09-19,2748.69,2773.93,2731.88,2752.9,1899163
2017-09-20,2752.9,2765.5,2731.88,2765.5,1557970
2017-09-21,2790.74,2824.35,2790.74,2803.34,1937230
2017-09-22,2828.56,2828.56,2778.11,2815.94,2493869
2017-09-25,2820.14,2883.2,2811.74,2874.8,1666943
2017-09-26,2870.59,2900.01,2857.96,2866.38,1388325
2017-09-27,2857.96,2916.82,2845.36,2908.41,1381186
2017-09-28,2942.02,2963.05,2883.2,2891.6,1792569
2017-09-29,2870.59,2874.8,2815.94,2832.75,2141375
2017-10-02,2828.56,2832.75,2803.34,2824.35,1122676
2017-10-03,2841.16,2845.36,2820.14,2832.75,1437815
2017-10-04,2824.35,2836.95,2765.5,2778.11,1994215
2017-10-05,2765.5,2778.11,2744.49,2761.3,1689071
2017-10-06,2773.93,2794.94,2706.67,2744.49,2417494
2017-10-10,2748.69,2778.11,2736.09,2769.7,1333244
2017-10-11,2778.11,2807.55,2769.7,2786.53,1910821
2017-10-12,2815.94,2815.94,2782.32,2786.53,1358108
2017-10-13,2752.9,2803.34,2744.49,2773.93,2699203
2017-10-16,2790.74,2794.94,2765.5,2773.93,1522280
2017-10-17,2786.53,2794.94,2773.93,2786.53,2202169
2017-10-18,2794.94,2794.94,2757.12,2769.7,1498488
2017-10-19,2773.93,2786.53,2761.3,2778.11,1226056
2017-10-20,2727.68,2769.7,2715.09,2765.5,2242259
2017-10-23,2799.15,2803.34,2769.7,2782.32,2145420
2017-10-24,2765.5,2786.53,2731.88,2782.32,1964594
2017-10-25,2803.34,2849.57,2803.34,2828.56,2829233
2017-10-26,2845.36,2887.39,2841.16,2870.59,3910390
2017-10-27,2887.39,2887.39,2836.95,2857.96,2353255
2017-10-30,2862.17,2870.59,2841.16,2857.96,1616263
2017-10-31,2841.16,2841.16,2815.94,2832.75,1551667
2017-11-01,2857.96,2883.2,2849.57,2874.8,3387298
2017-11-02,2904.2,2988.28,2879.0,2942.02,5522488
2017-11-06,2979.87,3042.91,2975.66,3009.27,4236117
2017-11-07,2992.47,2996.68,2967.26,2975.66,2397985
2017-11-08,2967.26,2988.28,2933.62,2946.23,2156603
2017-11-09,2954.65,2967.26,2874.8,2916.82,2764159
2017-11-10,2866.38,2895.82,2845.36,2857.96,2354799
2017-11-13,2870.59,2870.59,2836.95,2845.36,1361321
2017-11-14,2870.59,2891.6,2857.96,2862.17,1846342
2017-11-15,2857.96,2857.96,2811.74,2832.75,2162313
2017-11-16,2874.8,2967.26,2866.38,2963.05,3222770
2017-11-17,3009.27,3038.71,2979.87,2996.68,2679931
2017-11-20,2984.07,2996.68,2967.26,2979.87,1205951
2017-11-21,3005.08,3055.53,2996.68,3047.11,1943417
2017-11-22,3097.55,3135.36,3084.93,3084.93,2537293
2017-11-24,3059.73,3063.91,3026.08,3047.11,1307072
2017-11-27,3059.73,3068.12,3005.08,3017.67,1379403
2017-11-28,3017.67,3034.5,3000.87,3009.27,1450784
2017-11-29,2916.82,2937.83,2904.2,2921.02,5070302
2017-11-30,2937.83,2967.26,2921.02,2958.85,2953434
2017-12-01,2988.28,2992.47,2929.41,2950.45,2341237
2017-12-04,2967.26,2971.45,2937.83,2937.83,1406765
2017-12-05,2929.41,2988.28,2925.22,2967.26,2034427
2017-12-06,2946.23,2971.45,2908.41,2921.02,2473885
2017-12-07,2942.02,2971.45,2916.82,2921.02,1964356
2017-12-08,2954.65,2971.45,2942.02,2963.05,2989955
2017-12-11,2996.68,3021.89,2988.28,3013.48,1847651
2017-12-12,3009.27,3026.08,3000.87,3000.87,1182278
2017-12-13,3013.48,3026.08,2996.68,3005.08,1806131
2017-12-14,2984.07,2996.68,2967.26,2988.28,1344783
2017-12-15,2975.66,2979.87,2937.83,2963.05,1937826
2017-12-18,3005.08,3034.5,2975.66,3030.3,2205142
2017-12-19,3051.3,3076.54,3042.91,3063.91,1819693
2017-12-20,3051.3,3080.74,3030.3,3072.33,1213565
2017-12-21,3068.12,3118.56,3055.53,3118.56,1434247
2017-12-22,3126.97,3164.8,3118.56,3156.39,1747840
2017-12-25,3160.58,3160.58,3135.36,3139.57,624331
2017-12-26,3152.18,3152.18,3126.97,3135.36,1014417
2017-12-27,3125.17,3146.41,3112.39,3137.93,748720
2017-12-28,3137.93,3159.18,3125.17,3137.93,706503
2017-12-29,3129.41,3163.43,3120.91,3142.16,703799
2018-01-04,3171.94,3235.72,3163.43,3235.72,2245574
2018-01-05,3252.72,3329.26,3248.46,3325.01,1926776
2018-01-09,3346.25,3346.25,3256.97,3286.73,1894438
2018-01-10,3286.73,3346.25,3286.73,3316.49,1402541
2018-01-11,3278.24,3307.99,3265.47,3295.23,998843
2018-01-12,3282.51,3303.74,3269.73,3278.24,1771786
2018-01-15,3303.74,3307.99,3180.45,3210.21,2166667
2018-01-16,3210.21,3239.98,3201.69,3227.22,878897
2018-01-17,3231.48,3261.23,3218.7,3261.23,1505436
2018-01-18,3295.23,3299.49,3227.22,3244.21,1864214
2018-01-19,3261.23,3295.23,3214.44,3244.21,2319773
2018-01-22,3231.48,3235.72,3188.95,3218.7,1287888
2018-01-23,3239.98,3290.99,3235.72,3290.99,1194049
2018-01-24,3265.47,3290.99,3239.98,3252.72,1326577
2018-01-25,3218.7,3222.96,3133.67,3154.92,2055188
2018-01-26,3167.69,3205.95,3159.18,3180.45,1452755
2018-01-29,3180.45,3210.21,3154.92,3180.45,1000253
2018-01-30,3159.18,3214.44,3120.91,3129.41,1819531
2018-01-31,3095.4,3137.93,3065.64,3078.39,2380688
2018-02-01,3120.91,3163.43,3112.39,3163.43,1279186
2018-02-02,3142.16,3163.43,3116.66,3133.67,1303764
2018-02-05,3086.91,3142.16,3069.88,3120.91,1462397
2018-02-06,2963.61,2993.36,2899.81,2963.61,3698681
2018-02-07,3048.62,3057.14,2929.58,2938.08,2324831
2018-02-08,2938.08,3035.89,2938.08,3006.1,2272971
2018-02-09,2963.61,2989.1,2887.06,2916.82,2954193
